province;red;green;blue;name;x
1;65;192;64;Province_1;x
2;194;192;64;Province_2;x
3;67;192;180;Province_3;x
4;100;192;64;Province_4;x
5;197;96;64;Province_5;x
6;70;192;128;Province_6;x
7;167;192;64;Province_7;x
8;72;128;180;Province_8;x
9;73;192;64;Province_9;x
10;202;160;64;Province_10;x
11;75;192;180;Province_11;x
12;140;192;64;Province_12;x
13;205;64;64;Province_13;x
14;78;192;64;Province_14;x
15;207;192;64;Province_15;x
16;80;160;180;Province_16;x
17;81;192;64;Province_17;x
18;210;128;64;Province_18;x
19;83;192;128;Province_19;x
20;180;192;64;Province_20;x
21;85;128;180;Province_21;x
22;86;192;64;Province_22;x
23;215;160;64;Province_23;x
24;88;192;180;Province_24;x
25;121;192;64;Province_25;x
26;218;96;64;Province_26;x
27;91;192;128;Province_27;x
28;220;192;64;Province_28;x
29;93;160;180;Province_29;x
30;94;192;64;Province_30;x
31;223;128;64;Province_31;x
32;64;193;128;Province_32;x
33;129;193;64;Province_33;x
34;194;65;64;Province_34;x
35;67;193;64;Province_35;x
36;196;193;64;Province_36;x
37;69;193;180;Province_37;x
38;102;193;64;Province_38;x
39;199;97;64;Province_39;x
40;72;193;128;Province_40;x
41;169;193;64;Province_41;x
42;74;129;180;Province_42;x
43;75;193;64;Province_43;x
44;204;161;64;Province_44;x
45;77;193;180;Province_45;x
46;142;193;64;Province_46;x
47;207;65;64;Province_47;x
48;80;193;64;Province_48;x
49;209;193;64;Province_49;x
50;82;161;180;Province_50;x
51;83;193;64;Province_51;x
52;212;129;64;Province_52;x
53;85;193;128;Province_53;x
54;182;193;64;Province_54;x
55;87;129;180;Province_55;x
56;88;193;64;Province_56;x
57;217;161;64;Province_57;x
58;90;193;180;Province_58;x
59;123;193;64;Province_59;x
60;220;97;64;Province_60;x
61;93;193;128;Province_61;x
62;222;193;64;Province_62;x
63;95;161;180;Province_63;x
64;64;194;64;Province_64;x
65;193;130;64;Province_65;x
66;66;194;180;Province_66;x
67;131;194;64;Province_67;x
68;196;66;64;Province_68;x
69;69;194;64;Province_69;x
70;198;194;64;Province_70;x
71;71;162;180;Province_71;x
72;104;194;64;Province_72;x
73;201;130;64;Province_73;x
74;74;194;128;Province_74;x
75;171;194;64;Province_75;x
76;76;130;180;Province_76;x
77;77;194;64;Province_77;x
78;206;162;64;Province_78;x
79;79;194;180;Province_79;x
80;112;194;64;Province_80;x
81;209;98;64;Province_81;x
82;82;194;128;Province_82;x
83;211;194;64;Province_83;x
84;84;162;180;Province_84;x
85;85;194;64;Province_85;x
86;214;130;64;Province_86;x
87;87;194;128;Province_87;x
88;152;194;64;Province_88;x
89;217;66;64;Province_89;x
90;90;194;64;Province_90;x
91;219;194;64;Province_91;x
92;92;194;180;Province_92;x
93;125;194;64;Province_93;x
94;222;98;64;Province_94;x
95;95;194;128;Province_95;x
96;160;195;64;Province_96;x
97;65;131;180;Province_97;x
98;66;195;64;Province_98;x
99;195;163;64;Province_99;x
100;68;195;180;Province_100;x
101;133;195;64;Province_101;x
102;198;67;64;Province_102;x
103;71;195;64;Province_103;x
104;200;195;64;Province_104;x
105;73;163;180;Province_105;x
106;74;195;64;Province_106;x
107;203;131;64;Province_107;x
108;76;195;128;Province_108;x
109;173;195;64;Province_109;x
110;78;131;180;Province_110;x
111;79;195;64;Province_111;x
112;208;163;64;Province_112;x
113;81;195;180;Province_113;x
114;114;195;64;Province_114;x
115;211;99;64;Province_115;x
116;84;195;128;Province_116;x
117;213;195;64;Province_117;x
118;86;163;180;Province_118;x
119;87;195;64;Province_119;x
120;216;131;64;Province_120;x
121;89;195;128;Province_121;x
122;154;195;64;Province_122;x
123;219;67;64;Province_123;x
124;92;195;64;Province_124;x
125;221;195;64;Province_125;x
126;94;195;180;Province_126;x
127;127;195;64;Province_127;x
128;192;100;64;Province_128;x
129;65;196;128;Province_129;x
130;162;196;64;Province_130;x
131;67;132;180;Province_131;x
132;68;196;64;Province_132;x
133;197;164;64;Province_133;x
134;70;196;180;Province_134;x
135;135;196;64;Province_135;x
136;200;68;64;Province_136;x
137;73;196;64;Province_137;x
138;202;196;64;Province_138;x
139;75;164;180;Province_139;x
140;76;196;64;Province_140;x
141;205;132;64;Province_141;x
142;78;196;128;Province_142;x
143;175;196;64;Province_143;x
144;80;100;180;Province_144;x
