province;red;green;blue;name;x
1;145;176;48;Province_1;x
2;194;144;32;Province_2;x
3;51;160;48;Province_3;x
4;148;176;48;Province_4;x
5;229;112;48;Province_5;x
6;70;160;64;Province_6;x
7;199;176;32;Province_7;x
8;72;144;128;Province_8;x
9;153;176;48;Province_9;x
10;234;160;48;Province_10;x
11;75;160;64;Province_11;x
12;220;208;48;Province_12;x
13;237;80;48;Province_13;x
14;174;192;64;Province_14;x
15;223;160;48;Province_15;x
16;64;145;128;Province_16;x
17;161;193;64;Province_17;x
18;226;129;64;Province_18;x
19;67;177;64;Province_19;x
20;212;193;48;Province_20;x
21;85;161;128;Province_21;x
22;166;193;64;Province_22;x
23;231;177;64;Province_23;x
24;88;177;80;Province_24;x
25;169;193;64;Province_25;x
26;234;97;64;Province_26;x
27;91;177;80;Province_27;x
28;236;177;64;Province_28;x
29;93;161;144;Province_29;x
30;190;209;80;Province_30;x
31;239;145;80;Province_31;x
32;80;194;80;Province_32;x
33;225;210;64;Province_33;x
34;226;82;80;Province_34;x
35;179;210;80;Province_35;x
36;228;162;64;Province_36;x
37;101;194;96;Province_37;x
38;182;210;80;Province_38;x
39;231;114;80;Province_39;x
40;104;194;96;Province_40;x
41;249;194;80;Province_41;x
42;106;178;160;Province_42;x
43;203;210;80;Province_43;x
44;236;162;80;Province_44;x
45;109;194;96;Province_45;x
46;254;226;80;Province_46;x
47;239;98;96;Province_47;x
48;192;227;96;Province_48;x
49;241;163;80;Province_49;x
50;98;179;160;Province_50;x
51;195;227;48;Province_51;x
52;228;131;48;Province_52;x
53;117;211;112;Province_53;x
54;246;195;80;Province_54;x
55;119;195;160;Province_55;x
56;200;227;48;Province_56;x
57;201;147;96;Province_57;x
58;122;211;112;Province_58;x
59;219;227;48;Province_59;x
60;236;115;48;Province_60;x
61;125;211;112;Province_61;x
62;206;179;32;Province_62;x
63;127;195;112;Province_63;x
64;208;244;64;Province_64;x
65;225;148;64;Province_65;x
66;114;228;112;Province_66;x
